2025-05-20 12:04:44,138 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'BTC-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:04:47,908 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'BTC-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:20,361 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 100.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:28,086 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:32,713 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:33,451 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:33,672 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:33,854 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:34,048 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:34,232 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:34,439 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:34,627 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
2025-05-20 12:05:35,106 - ui_app - INFO - Input parameters changed: {'exchange': 'OKX', 'asset': 'ETH-USDT', 'order_type': 'Market', 'quantity': 90.0, 'volatility': 0.3, 'fee_tier': 'VIP1'}
